,TOOL_ID,210X1,210X2,210X3,210X4,210X5,210X6,210X7,210X8,210X9,210X10,210X11,210X12,210X13,210X14,210X21,210X22,210X23,210X24,210X37,210X38,Tool,261X569,261X570,261X571,261X572,220X147,220X150,220X151,220X153,330X623,312X175,Y
0,J,100.85,0.423,0.41,0.624,35.5,1.795,0.08,-0.18,-0.15,24.1,42.31,0.469,0.083,0.088,14.0,14.0,14.3,20170721051447.0,0.0,0.0,B,1.4e-05,32.0,6.8e-07,1e-10,14.0,,,5.0,20170729.0,,2.9450788825752783
1,J,100.8,0.322,0.41,0.544,70.98,3.58,0.11,-0.32,-0.15,24.3,42.27,0.378,0.082,0.088,14.0,14.0,14.3,20170721062739.0,0.0,0.0,B,1.4e-05,32.0,1e-10,1e-10,25.0,,,5.0,20170729.0,,2.955092235391502
2,O,100.75,0.526,0.14,1.081,57.84,2.848,-0.75,1.1,0.06,24.8,13.61,0.526,0.067,0.067,14.0,14.0,13.0,20170805190806.0,0.0,0.0,B,7.7e-06,32.0,1.5e-07,1e-10,1.0,,,5.0,20170729.0,,2.7412641668604247
3,O,100.7,0.541,0.14,1.119,58.01,2.909,-0.98,1.05,0.06,23.7,13.65,0.517,0.066,0.066,14.0,14.0,13.2,20170805213814.0,0.0,0.0,B,1.4e-06,32.0,1e-10,1e-10,26.0,,,5.0,20170728.0,,2.799335932073436
4,O,100.7,0.503,0.13,0.944,57.67,2.888,-0.48,1.08,0.06,24.4,13.52,0.563,0.067,0.066,14.0,14.0,14.0,20170807101728.0,0.0,0.0,A,9e-06,32.0,1e-10,1e-10,8.0,,,5.0,20170728.0,,2.692092529690795
5,M,101.25,0.816,0.22,2.994,62.1,3.005,-2.28,0.61,0.07,26.9,23.73,2.205,0.074,0.068,14.0,14.0,14.3,20170807012401.0,0.0,0.0,A,4.5e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170728.0,,2.6258530534421216
6,N,102.0,0.504,0.25,1.52,61.16,3.112,-0.34,-0.55,-0.12,26.5,26.41,0.556,0.079,0.079,14.0,14.0,14.0,20170807102032.0,0.0,0.0,A,1e-10,32.0,1e-10,1e-10,9.0,,,5.0,20170728.0,,2.6980066614278413
7,L,99.78,0.604,0.24,1.474,55.56,3.676,-2.34,0.21,0.16,27.8,24.15,0.493,0.076,0.072,14.0,14.0,14.8,20170808203030.0,0.0,0.0,B,1e-10,32.0,1e-10,1e-10,3.0,,,5.0,20170727.0,18.4,2.7882307377907956
8,L,99.81,0.593,0.24,1.44,55.52,3.716,-2.59,0.42,0.16,26.9,24.16,0.487,0.075,0.072,14.0,14.0,14.5,20170808203238.0,0.0,0.0,B,1e-10,32.0,1e-10,1e-10,4.0,,,5.0,20170727.0,18.4,2.7734526016728407
9,N,102.3,0.474,0.25,1.522,61.38,3.018,-0.12,-0.87,-0.13,26.3,26.65,0.57,0.077,0.078,14.0,14.0,14.4,20170808203601.0,0.0,0.0,B,2.4e-06,32.0,1e-10,1e-10,5.0,,,5.0,20170727.0,18.4,2.851242374686125
