TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3)
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,V,B,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
L,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
M,B,E,E,V,D,V,R,D,XY2,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,C
L,B,E,E,T,B,V,R,B,XY1,C
N,B,E,E,T,B,V,R,B,XY1,C
L,B,E,E,V,D,V,R,B,XY1,B
L,B,E,E,V,D,V,R,B,XY1,B
L,B,E,E,V,D,V,R,B,XY1,B
